注文日,注文番号,商品,単価,販売数量,売上金額
2016/1/1,A28563,ABC1001,422,94,39668
2016/1/1,A66278,ABC1002,2519,11,27709
2016/1/1,A46034,ABC1003,5140,78,400920
2016/1/1,A22173,ABC1004,6253,58,362674
2016/1/1,A11440,ABC1005,4324,55,237820
2016/1/1,A26110,ABC1006,3979,68,270572
2016/1/1,A89912,ABC1007,9409,33,310497
2016/1/1,A5364,ABC1008,101,26,2626
2016/1/1,A45305,ABC1009,6284,43,270212
2016/1/1,A71241,ABC1010,30,9,270
2016/1/1,A9265,ABC1011,5617,21,117957
2016/1/1,A28336,ABC1012,962,23,22126
2016/1/1,A64313,ABC1013,6065,81,491265
2016/1/1,A24573,ABC1014,5016,90,451440
2016/1/1,A5256,ABC1015,7608,31,235848
2016/1/1,A57695,ABC1016,9308,84,781872
2016/1/1,A16166,ABC1017,9215,81,746415
2016/1/1,A28325,ABC1018,8050,70,563500
2016/1/1,A26204,ABC1019,4452,35,155820
2016/1/1,A46398,ABC1020,5498,77,423346
2016/1/1,A2933,ABC1021,8114,89,722146
2016/1/1,A63666,ABC1022,3560,8,28480
2016/1/1,A33440,ABC1023,3942,3,11826
2016/1/1,A3998,ABC1024,5097,96,489312
2016/1/1,A33028,ABC1025,7447,50,372350
2016/1/1,A30785,ABC1026,7067,95,671365
2016/1/1,A91803,ABC1027,4259,34,144806
2016/1/1,A5925,ABC1028,503,57,28671
2016/1/1,A18981,ABC1029,9875,14,138250
2016/1/1,A42734,ABC1030,9600,3,28800
2016/1/1,A69375,ABC1031,4605,18,82890
2016/1/1,A72392,ABC1032,4616,73,336968
2016/1/1,A9219,ABC1033,7086,66,467676
2016/1/1,A55892,ABC1034,650,37,24050
2016/1/1,A1672,ABC1035,84,49,4116
2016/1/1,A69329,ABC1036,5822,87,506514
2016/1/1,A3213,ABC1037,4356,15,65340
2016/1/1,A38790,ABC1038,7429,0,0
2016/1/1,A8875,ABC1039,1882,4,7528
2016/1/1,A98648,ABC1040,1311,55,72105
2016/1/1,A67985,ABC1041,8311,88,731368
2016/1/1,A37490,ABC1042,9811,27,264897
2016/1/1,A49536,ABC1043,5319,16,85104
2016/1/1,A43800,ABC1044,5758,11,63338
2016/1/1,A83796,ABC1045,1181,54,63774
2016/1/1,A53228,ABC1046,1484,76,112784
2016/1/1,A98112,ABC1047,5018,72,361296
2016/1/1,A55391,ABC1048,9870,7,69090
2016/1/1,A79925,ABC1049,4869,71,345699
2016/1/1,A12098,ABC1050,3467,56,194152
2016/1/1,A93161,ABC1051,1711,8,13688
2016/1/1,A90879,ABC1052,2010,84,168840
2016/1/1,A11336,ABC1053,1844,65,119860
2016/1/1,A17792,ABC1054,3284,34,111656
2016/1/1,A51208,ABC1055,8432,84,708288
2016/1/1,A64549,ABC1056,6360,24,152640
2016/1/1,A3945,ABC1057,2157,92,198444
2016/1/1,A79899,ABC1058,9178,30,275340
2016/1/1,A56508,ABC1059,5252,24,126048
2016/1/1,A98872,ABC1060,1982,10,19820
2016/1/1,A41346,ABC1061,7168,99,709632
2016/1/1,A16005,ABC1062,9682,26,251732
2016/1/1,A48296,ABC1063,7855,54,424170
2016/1/1,A71678,ABC1064,5756,20,115120
2016/1/1,A85025,ABC1065,2994,72,215568
2016/1/1,A232,ABC1066,8859,17,150603
2016/1/1,A97775,ABC1067,2526,14,35364
2016/1/1,A40896,ABC1068,3805,71,270155
2016/1/1,A19254,ABC1069,6895,11,75845
2016/1/1,A58975,ABC1070,8520,72,613440
2016/1/1,A53499,ABC1071,3113,71,221023
2016/1/1,A57954,ABC1072,8508,33,280764
2016/1/1,A83480,ABC1073,9599,93,892707
2016/1/1,A81049,ABC1074,1955,17,33235
2016/1/1,A61378,ABC1075,5848,32,187136
2016/1/1,A89048,ABC1076,6178,96,593088
2016/1/1,A16654,ABC1077,8816,31,273296
2016/1/1,A9365,ABC1078,3379,29,97991
2016/1/1,A40342,ABC1079,1839,92,169188
2016/1/1,A32035,ABC1080,8427,85,716295
2016/1/1,A4710,ABC1081,740,29,21460
2016/1/1,A77881,ABC1082,5131,2,10262
2016/1/1,A32465,ABC1083,5773,16,92368
2016/1/1,A71659,ABC1084,7780,66,513480
2016/1/1,A91667,ABC1085,5592,91,508872
2016/1/1,A71470,ABC1086,1514,39,59046
2016/1/1,A10596,ABC1087,9605,19,182495
2016/1/1,A20438,ABC1088,3398,85,288830
